,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,rank,sector,start_period1,start_period2
157,SECUESTRO,N-2.4.5,1,2020-05,2021-05,0,1,18305.0,1,QUIROGA,2019-06,2020-06
158,SECUESTRO,N-3.2.11,1,2020-05,2021-05,0,1,7219.0,1,PANTITLAN,2019-06,2020-06
159,SECUESTRO,N-4.5.6,1,2020-05,2021-05,0,1,4480.0,1,CONSULADO,2019-06,2020-06
160,SECUESTRO,(NO ESPECIFICADO),1,2020-05,2021-05,3,4,,1,NO ESPECIFICADO,2019-06,2020-06
161,SECUESTRO,O-2.1.10,1,2020-05,2021-05,0,1,24085.0,1,OASIS,2019-06,2020-06
162,SECUESTRO,O-2.1.23,1,2020-05,2021-05,0,1,9252.0,1,OASIS,2019-06,2020-06
163,SECUESTRO,O-2.4.9,1,2020-05,2021-05,0,1,17817.0,1,TEOTONGO,2019-06,2020-06
164,SECUESTRO,O-3.1.1,1,2020-05,2021-05,0,1,24021.0,1,MILPA ALTA,2019-06,2020-06
165,SECUESTRO,P-2.4.4,1,2020-05,2021-05,0,1,14919.0,1,LA RAZA,2019-06,2020-06
166,SECUESTRO,P-2.4.7,1,2020-05,2021-05,0,1,9231.0,1,LA RAZA,2019-06,2020-06
167,SECUESTRO,S-1.1.14,1,2020-05,2021-05,0,1,4561.0,1,NARVARTE-ALAMOS,2019-06,2020-06
168,SECUESTRO,S-3.4.1,1,2020-05,2021-05,0,1,8891.0,1,FUENTE,2019-06,2020-06
169,SECUESTRO,S-3.5.8,1,2020-05,2021-05,0,1,4558.0,1,HUIPULCO-HOSPITALES,2019-06,2020-06
170,VIOLACION,N-2.3.7,7,2020-05,2021-05,2,9,36217.0,1,PRADERA,2019-06,2020-06
171,VIOLACION,S-3.2.6,7,2020-05,2021-05,1,8,16976.0,1,SAN JERONIMO,2019-06,2020-06
172,VIOLACION,P-2.2.6,6,2020-05,2021-05,0,6,10043.0,3,CUITLAHUAC,2019-06,2020-06
173,VIOLACION,N-3.3.7,5,2020-05,2021-05,0,5,18974.0,4,TLACOTAL,2019-06,2020-06
174,VIOLACION,N-4.5.1,5,2020-05,2021-05,0,5,14443.0,4,CONSULADO,2019-06,2020-06
175,VIOLACION,O-3.3.1,5,2020-05,2021-05,1,6,9540.0,4,MIXQUIC,2019-06,2020-06
176,VIOLACION,O-3.3.7,5,2020-05,2021-05,0,5,15691.0,4,MIXQUIC,2019-06,2020-06
177,VIOLACION,O-3.4.2,5,2020-05,2021-05,0,5,28394.0,4,ZAPOTITLA,2019-06,2020-06
178,VIOLACION,S-3.1.5,5,2020-05,2021-05,0,5,24310.0,4,DINAMO,2019-06,2020-06
179,VIOLACION,S-3.2.8,5,2020-05,2021-05,3,8,23185.0,4,SAN JERONIMO,2019-06,2020-06
180,VIOLACION,S-3.5.9,5,2020-05,2021-05,1,6,18145.0,4,HUIPULCO-HOSPITALES,2019-06,2020-06
