,count,crime,end_date,hour,start_date
348,110,ROBO A REPARTIDOR C.V.,2021-05,17,2020-06
349,64,ROBO A REPARTIDOR C.V.,2021-05,18,2020-06
350,45,ROBO A REPARTIDOR C.V.,2021-05,19,2020-06
351,37,ROBO A REPARTIDOR C.V.,2021-05,20,2020-06
352,31,ROBO A REPARTIDOR C.V.,2021-05,21,2020-06
353,26,ROBO A REPARTIDOR C.V.,2021-05,22,2020-06
354,10,ROBO A REPARTIDOR C.V.,2021-05,23,2020-06
355,1,ROBO A BORDO DE TAXI C.V.,2021-05,00,2020-06
356,2,ROBO A BORDO DE TAXI C.V.,2021-05,01,2020-06
357,5,ROBO A BORDO DE TAXI C.V.,2021-05,02,2020-06
358,3,ROBO A BORDO DE TAXI C.V.,2021-05,03,2020-06
359,5,ROBO A BORDO DE TAXI C.V.,2021-05,04,2020-06
360,11,ROBO A BORDO DE TAXI C.V.,2021-05,05,2020-06
361,6,ROBO A BORDO DE TAXI C.V.,2021-05,06,2020-06
362,11,ROBO A BORDO DE TAXI C.V.,2021-05,07,2020-06
363,8,ROBO A BORDO DE TAXI C.V.,2021-05,08,2020-06
364,7,ROBO A BORDO DE TAXI C.V.,2021-05,09,2020-06
365,6,ROBO A BORDO DE TAXI C.V.,2021-05,10,2020-06
366,6,ROBO A BORDO DE TAXI C.V.,2021-05,11,2020-06
367,10,ROBO A BORDO DE TAXI C.V.,2021-05,12,2020-06
368,9,ROBO A BORDO DE TAXI C.V.,2021-05,13,2020-06
369,19,ROBO A BORDO DE TAXI C.V.,2021-05,14,2020-06
370,11,ROBO A BORDO DE TAXI C.V.,2021-05,15,2020-06
371,8,ROBO A BORDO DE TAXI C.V.,2021-05,16,2020-06
372,8,ROBO A BORDO DE TAXI C.V.,2021-05,17,2020-06
373,5,ROBO A BORDO DE TAXI C.V.,2021-05,18,2020-06
374,11,ROBO A BORDO DE TAXI C.V.,2021-05,19,2020-06
375,10,ROBO A BORDO DE TAXI C.V.,2021-05,20,2020-06
376,10,ROBO A BORDO DE TAXI C.V.,2021-05,21,2020-06
377,4,ROBO A BORDO DE TAXI C.V.,2021-05,22,2020-06
378,8,ROBO A BORDO DE TAXI C.V.,2021-05,23,2020-06
379,1,SECUESTRO,2021-05,04,2020-06
380,1,SECUESTRO,2021-05,06,2020-06
381,1,SECUESTRO,2021-05,09,2020-06
382,1,SECUESTRO,2021-05,12,2020-06
383,2,SECUESTRO,2021-05,13,2020-06
384,3,SECUESTRO,2021-05,14,2020-06
385,2,SECUESTRO,2021-05,15,2020-06
386,1,SECUESTRO,2021-05,16,2020-06
387,2,SECUESTRO,2021-05,21,2020-06
388,2,SECUESTRO,2021-05,22,2020-06
389,1,SECUESTRO,2021-05,23,2020-06
390,1,ROBO A BORDO DE METRO C.V.,2021-05,04,2020-06
391,2,ROBO A BORDO DE METRO C.V.,2021-05,05,2020-06
392,2,ROBO A BORDO DE METRO C.V.,2021-05,06,2020-06
393,5,ROBO A BORDO DE METRO C.V.,2021-05,07,2020-06
394,2,ROBO A BORDO DE METRO C.V.,2021-05,08,2020-06
395,3,ROBO A BORDO DE METRO C.V.,2021-05,09,2020-06
396,3,ROBO A BORDO DE METRO C.V.,2021-05,10,2020-06
397,2,ROBO A BORDO DE METRO C.V.,2021-05,11,2020-06
398,1,ROBO A BORDO DE METRO C.V.,2021-05,12,2020-06
